,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
3096,house,unitech uniworld resorts,sector 33,9.5,23333.0,4071.0,Plot area 500(418.06 sq.m.),5,7,3,2.0,East,Undefined,,500.0,,1,1,1,1,0,0,57
3097,house,Independent,sector 56,7.25,29336.0,2471.0,Plot area 303(253.35 sq.m.),8,8,3,0.0,North-East,Moderately Old,,303.0,,0,0,0,0,0,2,24
3107,house,Independent,sector 26,7.0,39265.0,1783.0,Plot area 1782.72(165.62 sq.m.),5,5,2,3.0,North-East,Relatively New,,1782.72,,0,1,0,0,0,0,9
3109,house,Independent,sector 38,8.0,230547.0,347.0,Built Up area: 347 (32.24 sq.m.)Carpet area: 215 sq.ft. (19.97 sq.m.),10,10,3,1.0,North,Undefined,,347.0,215.0,0,0,0,0,0,0,0
3120,house,Independent,sector 50,6.5,21667.0,3000.0,Built Up area: 3000 (278.71 sq.m.),5,6,0,1.0,NotAvailable,Undefined,,3000.0,,0,0,0,0,0,0,0
3128,house,Independent,sector 2,6.0,20000.0,3000.0,Built Up area: 333 (278.43 sq.m.),4,4,1,2.0,NotAvailable,Relatively New,,333.0,,0,0,0,0,0,0,0
3133,house,dlf the arbour,sector 63,8.5,21519.0,3950.0,Built Up area: 3950 (366.97 sq.m.),4,4,3,27.0,NotAvailable,Undefined,,3950.0,,0,0,0,0,0,0,61
3141,house,Independent,sector 25,16.0,26667.0,6000.0,Built Up area: 6000 (557.42 sq.m.),6,5,2,3.0,East,Relatively New,,6000.0,,0,0,0,0,0,0,0
3142,house,malibu towne,sector 47,8.5,53125.0,1600.0,Built Up area: 1600 (148.64 sq.m.),12,12,3,4.0,North,Undefined,,1600.0,,0,0,0,0,0,2,99
3143,house,suncity essel towers,sector 28,8.95,17900.0,5000.0,Plot area 5000(464.52 sq.m.),5,6,3,4.0,NotAvailable,Moderately Old,,5000.0,,0,0,0,0,0,0,0
3144,house,Independent,sector 43,14.0,39886.0,3510.0,Plot area 390(326.09 sq.m.),9,9,3,4.0,North,Moderately Old,,3510.0,,0,1,0,0,0,0,7
3147,house,Independent,sector 50,13.2,27155.0,4861.0,Built Up area: 4861 (451.6 sq.m.),6,6,0,2.0,NotAvailable,Undefined,,4861.0,,0,0,0,0,0,0,0
3148,house,anamika enclave,sector 12,6.0,14492.0,4140.0,Plot area 4140(384.62 sq.m.)Built Up area: 9000 sq.ft. (836.13 sq.m.),9,9,3,3.0,North-West,Undefined,,9000.0,,0,0,0,0,0,0,9
3154,house,Independent,sector 56,8.0,9654.0,8287.0,Plot area 362(33.63 sq.m.)Built Up area: 8286 sq.ft. (769.79 sq.m.),10,10,3,4.0,NotAvailable,Relatively New,,8286.0,,1,1,0,1,0,1,107
3160,house,Independent,sector 25,8.0,8000.0,10000.0,Carpet area: 10000 (929.03 sq.m.),3,9,2,3.0,NotAvailable,Undefined,,,10000.0,0,0,0,0,0,0,0
3179,house,sector 14 rwa,sector 14,6.5,26000.0,2500.0,Plot area 2500(232.26 sq.m.),5,5,0,4.0,NotAvailable,Moderately Old,,2500.0,,0,0,0,0,0,0,0
3181,house,Independent,sector 25,13.5,19286.0,7000.0,Built Up area: 7000 (650.32 sq.m.),9,9,0,1.0,East,Relatively New,,7000.0,,0,0,0,0,0,0,0
3182,house,Independent,sector 2,5.7,22634.0,2518.0,Plot area 270(225.75 sq.m.),9,9,3,3.0,North-East,Moderately Old,,2430.0,,0,0,0,1,0,2,0
3193,house,dlf the grove,sector 54,5.7,211111.0,270.0,Built Up area: 270 (25.08 sq.m.),4,4,0,1.0,NotAvailable,Undefined,,270.0,,0,0,0,0,0,0,46
3201,house,vipul tatvam villa,sector 48,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4,6,3,3.0,North,Undefined,,3240.0,,0,1,0,1,1,0,49
3203,house,Independent,sector 12,6.0,315789.0,190.0,Plot area 190(17.65 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),9,6,2,2.0,North-East,Undefined,,,1600.0,0,0,0,0,0,0,0
3207,house,aIndependentt raj estates,sector 63a,8.5,27139.0,3132.0,Plot area 348(290.97 sq.m.),6,6,3,3.0,East,Under Construction,,3132.0,,0,0,1,1,0,0,29
3208,house,Independent,sector 43,5.75,23662.0,2430.0,Plot area 270(225.75 sq.m.)Built Up area: 260 sq.yards (217.39 sq.m.)Carpet area: 220 sq.yards (183.95 sq.m.),4,4,2,4.0,North,Undefined,,260.0,220.0,0,1,1,0,0,1,153
3216,house,international city by sobha phase 1,sector 109,6.1,25103.0,2430.0,Plot area 270(225.75 sq.m.),5,6,3,2.0,NotAvailable,Moderately Old,,2430.0,,0,1,0,0,0,0,30
3222,house,unitech espace,sector 50,11.5,35494.0,3240.0,Built Up area: 3240 (301.01 sq.m.),5,6,0,1.0,North-West,Undefined,,3240.0,,0,0,0,0,0,0,0
3231,house,sector 14 rwa,sector 14,6.5,20635.0,3150.0,Plot area 350(292.64 sq.m.),4,4,3,2.0,NotAvailable,Moderately Old,,3150.0,,0,0,0,0,0,0,0
3241,house,Independent,sector 24,10.0,229885.0,435.0,Carpet area: 435 (40.41 sq.m.),8,10,3,1.0,West,Undefined,,,435.0,0,0,0,0,0,0,0
3252,house,Independent,sector 25,13.5,37313.0,3618.0,Plot area 402(336.12 sq.m.),5,6,3,4.0,North-East,Undefined,,3618.0,,0,0,0,0,1,2,79
3267,house,ardee city,sector 52,5.5,183333.0,300.0,Plot area 300(27.87 sq.m.),9,9,3,3.0,South,Moderately Old,,300.0,,0,1,0,1,1,2,26
3278,house,Independent,sector 23,5.5,13095.0,4200.0,Plot area 4200(390.19 sq.m.),9,9,3,3.0,South,Moderately Old,,4200.0,,0,1,0,0,1,2,0
3279,house,housing board colony,saraswati vihar,5.5,30556.0,1800.0,Plot area 200(167.23 sq.m.),4,3,3,2.0,North,Undefined,,1800.0,,0,0,0,1,1,2,22
3286,house,dlf city plot phase 4,sector 28,13.0,1992.0,65261.0,Carpet area: 7250 (6061.92 sq.m.),10,10,3,1.0,NotAvailable,Undefined,,,7250.0,0,0,0,0,0,0,0
3295,house,unitech escape,sector 50,12.0,37037.0,3240.0,Carpet area: 360 (301.01 sq.m.),5,6,3,3.0,East,Undefined,,,360.0,0,0,0,0,0,0,66
3296,house,project housing board colony,sector 31,8.0,63492.0,1260.0,Built Up area: 140 (117.06 sq.m.),2,1,0,1.0,NotAvailable,Undefined,,140.0,,0,0,0,0,0,0,0
3304,house,unitech uniworld resorts,sector 33,8.0,17778.0,4500.0,Built Up area: 500 (418.06 sq.m.),6,5,3,4.0,NotAvailable,Undefined,,500.0,,0,0,0,0,0,0,0
3305,house,vatika india next,sector 82,6.5,20062.0,3240.0,Built Up area: 360 (301.01 sq.m.)Carpet area: 300 sq.yards (250.84 sq.m.),4,3,0,2.0,NotAvailable,Undefined,,360.0,300.0,0,0,0,0,0,0,0
