property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,pareena laxmi apartments,sector 99a,0.32,6106.0,524.1,Super Built up area 524(48.68 sq.m.)Carpet area: 424.8 sq.ft. (39.47 sq.m.),2,2,2,2.0,,Undefined,524.0,,424.8,0,0,0,0,0,0,50,262.05
flat,pyramid elite,sector 86,0.45,7739.0,581.5,Carpet area: 581.41 (54.01 sq.m.),2,2,1,4.0,,Undefined,,,581.3582389999999,0,0,0,0,0,0,66,290.75
flat,raheja revanta,sector 78,1.2,10018.0,1197.8,Super Built up area 1197.8(111.28 sq.m.)Carpet area: 505 sq.ft. (46.92 sq.m.),1,2,2,32.0,,Under Construction,1197.8,,505.0,0,0,0,0,0,0,39,1197.8
flat,m3m skycity,sector 65,2.1,16031.0,1310.0,Super Built up area 1310(121.7 sq.m.),2,2,2,43.0,,New Property,1310.0,,,0,0,0,0,0,0,127,655.0
flat,not applicable,sector 4,0.42,5600.0,750.0,Carpet area: 750 (69.68 sq.m.),2,2,1,3.0,,Relatively New,,,750.0,0,0,0,0,0,2,26,375.0
flat,godrej nature plus,sector 33,1.55,9955.0,1557.0,Carpet area: 1557 (144.65 sq.m.),3,2,3+,8.0,East,New Property,,,1557.0,0,0,0,0,0,0,43,519.0
flat,ramprastha city,dwarka expressway,1.3,9027.0,1440.1,Super Built up area 1440(133.78 sq.m.),3,3,2,3.0,,Under Construction,1440.0,,,0,0,0,0,0,0,0,480.0333333333333
flat,smartworld 1dxp,sector 113,2.75,10589.0,2597.0,Carpet area: 2597 (241.27 sq.m.),4,4,3+,20.0,East,Undefined,,,2597.0,1,1,0,1,0,1,57,649.25
flat,ansal housing highland park,sector 103,1.25,6443.0,1940.1,Super Built up area 1940(180.23 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),3,3,3+,2.0,North-East,Undefined,1940.0,,1056.0,0,0,0,1,0,0,105,646.6999999999999
flat,czar mahira homes 63a,sector 63a,0.42,7407.0,567.0,Carpet area: 567 (52.68 sq.m.),3,2,2,1.0,,Undefined,,,567.0,0,0,0,0,0,0,0,189.0
flat,breez global heights,sohna road,0.4,6420.0,623.1,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2,2,1,4.0,North-East,Undefined,623.0,,599.0,0,0,0,0,0,0,49,311.55
flat,trisara our homes 3,sohna road,0.34,5405.0,629.0,Carpet area: 629 (58.44 sq.m.),2,2,1,0.0,,Undefined,,,629.0,0,0,0,0,0,0,0,314.5
flat,m3m soulitude,sector 89,1.25,8784.0,1423.0,Super Built up area 1423(132.2 sq.m.),3,3,3,3.0,East,New Property,1423.0,,,1,0,0,0,1,0,61,474.3333333333333
flat,emaar mgf palm hills,sector 77,1.5,12744.0,1177.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 1177 sq.ft. (109.35 sq.m.),3,3,3,4.0,North-East,Relatively New,1450.0,,1177.0,0,0,0,0,0,2,97,392.3333333333333
flat,ramprastha city,dwarka expressway,1.3,9285.0,1400.1,Super Built up area 1400(130.06 sq.m.),3,3,2,3.0,,Under Construction,1400.0,,,0,0,0,0,0,0,0,466.7
flat,pareena coban residences,sector 99a,1.6,8000.0,2000.0,Super Built up area 2000(185.81 sq.m.),3,3,3,6.0,,Under Construction,2000.0,,,0,0,0,0,0,0,0,666.6666666666666
flat,la vida by tata housing,sector 113,1.5,11755.0,1276.1,Carpet area: 1276 (118.54 sq.m.),2,2,2,13.0,,Undefined,,,1276.0,0,0,0,0,0,0,71,638.05
flat,la vida by tata housing,sector 113,1.5,11755.0,1276.1,Super Built up area 1276(118.54 sq.m.),2,2,2,13.0,,Undefined,1276.0,,,0,0,0,0,0,0,60,638.05
flat,godrej summit premia towers,sector 104,0.9,7149.0,1258.9,Built Up area: 1259 (116.96 sq.m.),2,2,0,16.0,,Undefined,,1259.0,,0,0,0,0,0,0,0,629.45
flat,ardee city,sector 52,1.5,9146.0,1640.1,Super Built up area 1640(152.36 sq.m.),4,4,3,3.0,,Undefined,1640.0,,,0,0,0,0,0,0,65,410.025
flat,m3m one key resiments,sector 67,0.8,13115.0,610.0,Built Up area: 610 (56.67 sq.m.),1,1,0,0.0,,Undefined,,610.0,,0,0,0,0,0,0,0,610.0
flat,ansal heights 86,sector 86,1.25,7396.0,1690.1,Super Built up area 1690(157.01 sq.m.),3,2,1,11.0,,Undefined,1690.0,,,0,0,0,0,0,0,45,563.3666666666667
flat,mvn athens,sohna road,0.26,5398.0,481.7,Carpet area: 481.74 (44.76 sq.m.),2,2,1,2.0,,Relatively New,,,481.792164,0,0,0,0,0,0,37,240.85
flat,signature the serenas,sohna road,0.42,7910.0,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,12.0,,Undefined,,,531.0,0,0,0,0,0,0,54,265.5
flat,sushant lok 1 builder floors,sector 43,2.5,12920.0,1935.0,Super Built up area 215(179.77 sq.m.),3,3,2,2.0,,Undefined,215.0,,,0,0,0,0,0,0,0,645.0
flat,umang monsoon breeze,sector 78,0.9,4615.0,1950.2,Super Built up area 1950(181.16 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1854 sq.ft. (172.24 sq.m.),3,3,2,1.0,,Moderately Old,1950.0,1900.0,1854.0,0,1,0,1,0,0,65,650.0666666666667
flat,gls avenue 51,sector 92,0.42,7107.0,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,4.0,East,Relatively New,,,591.0,1,0,0,1,0,2,42,295.5
flat,signature global solera,sector 107,0.5,7692.0,650.0,Super Built up area 546(50.73 sq.m.),2,2,1,11.0,,Relatively New,546.0,,,0,0,0,0,0,0,55,325.0
